DARSDSEI Index	Tanzania All Share Index Real
KNSMIDX Index	Nairobi Securities Exchange Lt
NSEASI Index	Nairobi Securities Exchange Lt
GGSECI Index	Ghana Stock Exchange Composite
KWL Index	Bloomberg Kuwait Large & Mid C
KWSEPM Index	Boursa Kuwait Premier Market P
KWSEMM Index	Boursa Kuwait Main Market Pric
ILL Index	Bloomberg Israel Large & Mid C
TA-35 Index	Tel Aviv Stock Exchange 35 Ind
TA-125 Index	Tel Aviv Stock Exchange 125 In
PASISI Index	Palestine Stock Exchange Al Qu
BLOM Index	Blom Stock Index Lebanon
BHSEASI Index	Bahrain Bourse All Share Index
SAL Index	Bloomberg Saudi Arabia Large &
SASEIDX Index	Tadawul All Share Index
JOSMGNFF Index	Amman Stock Exchange General I
MSM30 Index	Muscat Stock Exchange MSX 30 I
QAL Index	Bloomberg Qatar Large & Mid Ca
DSM Index	Qatar Exchange Index
QEAS Index	QE All Share Index
QETR Index	QE Total Return Index
AEL Index	Bloomberg United Arab Emirates
DFMGI Index	Dubai Financial Market General
FADSM15 Index	FTSE ADX 15 Index / FADX 15
DUAE Index	FTSE NASDAQ Dubai UAE 20 Price
SEMDEX Index	Mauritius Stock Exchange SEMDE
APACD Index	Bloomberg APAC Developed Marke
TPX Index	Tokyo Stock Exchange Tokyo Sto
NKY Index	Nikkei 225
JPNK400 Index	JPX Nikkei Index 400
HSI Index	Hang Seng Index
SHSZ300 Index	Shanghai Shenzhen CSI 300 Inde
SHCOMP Index	Shanghai Stock Exchange Compos
SZCOMP Index	Shenzhen Stock Exchange Compos
HSCEI Index	Hang Seng China Enterprises In
TWSE Index	Taiwan Stock Exchange Weighted
KOSPI Index	Korea Stock Exchange KOSPI Ind
KOSDAQ Index	Korea Securities Dealers Assoc
AS51 Index	S&P/ASX 200
NIFTY Index	NSE Nifty 50 Index
SENSEX Index	BSE SENSEX
STI Index	Straits Times Index STI
FBMKLCI Index	FTSE Bursa Malaysia KLCI Index
SET Index	Stock Exchange of Thailand SET
JCI Index	Jakarta Stock Exchange Composi
NZSE50FG Index	S&P/NZX 50 Total Return Index
PCOMP Index	Philippines Stock Exchange PSE
KSE100 Index	Karachi Stock Exchange KSE-100
VNINDEX Index	Vietnam Ho Chi Minh Stock Inde
CSEALL Index	Sri Lanka Colombo Stock Exchan
LSXC Index	Laos Securities Exchange Compo
MSETOP Index	Mongolia Stock Exchange Top 20
ASIAD Index	Bloomberg Asia Developed Marke
SAXCME Index	S&P Asia 50 CME Index
MXAPEXA Index	MSCI asia apex 50
BJP500P Index	Bloomberg Japan 500 Price Retu
TPX Index	Tokyo Stock Exchange Tokyo Sto
TPXC30 Index	TOPIX Core 30 Index
TPXL70 Index	TOPIX Large 70 Index
TPX500 Index	TOPIX 500 Index
TPXSM Index	TOPIX Small Index
TPXM400 Index	TOPIX Mid 400 Index
TPX100 Index	TOPIX 100 Index
TSES Index	Tokyo Stock Exchange Standard
TSEG Index	Tokyo Stock Exchange Growth Ma
TSEP Index	Tokyo Stock Exchange Prime Mar
NKY Index	Nikkei 225
NEY Index	Nikkei 300 Index
NKY500 Index	Nikkei 500
TSEREIT Index	Tokyo Stock Exchange REIT Inde
TSEMOTHR Index	TSE Growth Market 250 Index
JPNK400 Index	JPX Nikkei Index 400
JPXP150 Index	JPX Prime 150 Index
HKPL Index	Bloomberg Hong Kong Large & Mi
HSI Index	Hang Seng Index
HSCI Index	Hang Seng Composite Index
HKSPLC25 Index	S&P/HKEx Large Cap Index
HKSPGEM Index	S&P/Hong Kong GEM Index
HSCEI Index	Hang Seng China Enterprises In
HSCCI Index	Hang Seng China-Affiliated Cor
HSFML25 Index	Hang Seng China (Hong Kong-lis
H-FIN Index	Hang Seng SCHK China Financial
HSML100 Index	Hang Seng China (Hong Kong-lis
HSHK35 Index	Hang Seng HK 35
CNL Index	Bloomberg China Large & Mid Ca
SHSZ300 Index	Shanghai Shenzhen CSI 300 Inde
SHASHR Index	Shanghai Stock Exchange A Shar
SHBSHR Index	Shanghai Stock Exchange B Shar
SZASHR Index	Shenzhen Stock Exchange A Shar
SZBSHR Index	Shenzhen Stock Exchange B Shar
SHCOMP Index	Shanghai Stock Exchange Compos
SZCOMP Index	Shenzhen Stock Exchange Compos
SSE180 Index	SSE 180 Index
SSE50 Index	Shanghai Stock Exchange SSE 50
SHNCOMP Index	Shanghai New Composite Index
CBSE50 Index	Beijing Stock Exchange 50 Inde
SICOM Index	Shenzhen Component Index
SZ399006 Index	ChiNext Index
SHCSI100 Index	CSI A100 Index - Shanghai
SZSMEC Index	China Shenzhen Small Medium En
SZ399550 Index	CCTV 50 INDEX
SZ399330 Index	Shenzhen 100 Index
SZ399005 Index	Shenzhen Stock Exchange Small
SH000905 Index	CSI Smallcap 500 Index - Shang
XIN0I Index	FTSE China 50 Index HKD
TWL Index	Bloomberg Taiwan Large & Mid C
TWSE Index	Taiwan Stock Exchange Weighted
TWOTCI Index	Taiwan TPEx Exchange Index
TW50 Index	FTSE TWSE Taiwan 50 Index
KRL Index	Bloomberg South Korea Large &
KRX100 Index	KRX 100 Index
KOSPI Index	Korea Stock Exchange KOSPI Ind
KOSPI2 Index	Korea Stock Exchange KOSPI 200
KOSPI100 Index	Korea Stock Price 100 Composit
KOSPI50 Index	Korea Stock Price 50 Composite
KOSDAQ Index	Korea Securities Dealers Assoc
AUL Index	Bloomberg Australia Large & Mi
AS51 Index	S&P/ASX 200
AS52 Index	S&P/ASX 300
AS30 Index	Australian Stock Exchange All
NZPL Index	Bloomberg New Zealand Large &
NZSE50FG Index	S&P/NZX 50 Total Return Index
NZSE10 Index	S&P/NZX 10 Index
NZSE Index	S&P/NZX All Index
PKL Index	Bloomberg Pakistan Large & Mid
KSE100 Index	Karachi Stock Exchange KSE-100
KSE30 Index	Karachi Stock Exchange KSE30 I
KSE Index	Pakistan Karachi All Share KSE
CSEALL Index	Sri Lanka Colombo Stock Exchan
THL Index	Bloomberg Thailand Large & Mid
SET Index	Stock Exchange of Thailand SET
SET50 Index	Stock Exchange of Thailand SET
IDL Index	Bloomberg Indonesia Large & Mi
JCI Index	Jakarta Stock Exchange Composi
LQ45 Index	Jakarta Stock Exchange LQ45 In
INL Index	Bloomberg India Large & Mid Ca
SENSEX Index	BSE SENSEX
NIFTY Index	NSE Nifty 50 Index
BSE500 Index	BSE 500
BSE200 Index	BSE 200
BSE100 Index	BSE 100
SGPL Index	Bloomberg Singapore Large & Mi
STI Index	Straits Times Index STI
FSTAS Index	FTSE ST All-Share Index
MYL Index	Bloomberg Malaysia Large & Mid
FBMKLCI Index	FTSE Bursa Malaysia KLCI Index
FBMEMAS Index	FTSE Bursa Malaysia EMAS Index
PHL Index	Bloomberg Philippines Large &
PCOMP Index	Philippines Stock Exchange PSE
VNINDEX Index	Vietnam Ho Chi Minh Stock Inde
VHINDEX Index	Vietnam Hanoi Stock Exchange E
DSEX Index	Bangladesh Dhaka Stock Exchang
DS30 Index	Bangladesh Dhaka Stock Exchang
MSETOP Index	Mongolia Stock Exchange Top 20
LSXC Index	Laos Securities Exchange Compo
US Index	Bloomberg United States Large
B500 Index	Bloomberg US Large Cap Price R
AGGE Index	Bloomberg US Aggregate Equity
INDU Index	Dow Jones Industrial Average
TRAN Index	Dow Jones Transportation Avera
UTIL Index	Dow Jones Utility Average
COMP Index	Dow Jones Composite Average
DWCF Index	Dow Jones US Total Stock Marke
OEX Index	S&P 100 Index
SPX Index	S&P 500 INDEX
MID Index	S&P Midcap 400 Index
SML Index	S&P Small Cap 600 Index
SPR Index	S&P 1500 Composite Index
NYA Index	New York Stock Exchange Compos
NYID Index	New York Stock Exchange US 100
NYIID Index	New York Stock Exchange Intern
NYYID Index	New York Stock Exchange TMT In
NYLID Index	New York Stock Exchange World
VALUA Index	Value Line Arithmetic
CCMP Index	NASDAQ Composite Index
CFIN Index	NASDAQ Other Financial Index
NYP Index	NYSE Healthcare Index
NYK Index	NYSE Financial Index
CIND Index	NASDAQ Industrial Index
CTRN Index	NASDAQ Transportation Index
CUTL Index	NASDAQ Telecommunications Inde
CINS Index	NASDAQ Insurance Index
CBNK Index	NASDAQ Bank Index
NDX Index	Nasdaq-100 Index
NDF Index	NASDAQ 100 Financial Index
IXK Index	NASDAQ Computer Index
NBI Index	Nasdaq Biotechnology Index
QMI Index	NASDAQ 100 Pre Market Indicato
QIV Index	NASDAQ 100 After Hours Indicat
XMI Index	New York Stock Exchange ARCA M
XAX Index	NYSE American Composite Index
XII Index	New York Stock Exchange ARCA I
XCI Index	New York Stock Exchange ARCA C
XOI Index	NYSE Arca Exchange Oil Index
OSX Index	Philadelphia Stock Exchange Oi
RIY Index	Russell 1000 Index
RTY Index	Russell 2000 Index
RAY Index	Russell 3000 Index
XAU Index	Philadelphia Stock Exchange Go
SOX Index	Philadelphia Stock Exchange Se
BKX Index	KBW Bank Index
UTY Index	PHLX Utility Sector
